#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE56F
#Date Time: 2024-04-23 13:20:55.399
#Start: 100 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 61.0653 V
#Offset: -0.00252791 V
#Relative: no
#Channel: Channel 2
#Range: 61.3272 V
#Offset: 0.00324317 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-37.22975219881859,36.66587353495298,-84.10757599646513
104.2300949424216,-36.99090274276099,36.41584680036199,-97.83910919732995
108.6391269170621,-36.40430102055958,35.82763642504788,-86.01784029687519
113.2346651302716,-35.21100170646744,34.64291146048717,-92.18325914932187
118.0245989730151,-34.48971526615346,33.9357650015151,-84.70544307930814
123.0171515649861,-34.68692262227479,34.1225647100099,-95.60839279226226
128.2208938716475,-34.90027439626462,34.34681744966162,-92.78248203361132
133.6447594184397,-34.34246006060148,33.81482563307469,-87.69460560256925
139.2980596274105,-33.34804619187413,32.78958256268912,-88.58216914168031
145.1904998026008,-33.83155490869585,33.27735515615647,-91.65441549023802
151.3321957916271,-32.84098631169479,32.29461393703951,-95.73492395732295
157.7336913520643,-32.8911559370523,32.33770038161961,-95.26816193257633
164.4059762524425,-32.39269270173098,31.85241682864017,-87.00481864693126
171.360505138936,-31.6470003873841,31.09690401329743,-93.35733252006068
178.609217200126,-31.78306591363402,31.2475103728223,-90.2165115043158
186.1645566636072,-31.59285899950607,31.05693233889626,-88.09415374318246
194.0394941596158,-30.06607071772816,29.53519101877,-90.10775306079076
202.247548988362,-30.151933282076,29.64477702636677,-91.33447157762947
210.8028123292901,-30.22389051230692,29.69563370501105,-91.39549016867558
219.7199714321139,-30.00466845909203,29.47336822787194,-92.83359089390987
229.0143348311534,-29.64578206257621,29.11988964688377,-94.57620990199358
238.7018586262665,-29.94431683910079,29.41656770962144,-92.4541276693586
248.7991738754823,-28.31790440508679,27.78786988276197,-94.84624995243581
259.3236151463755,-28.26024900108883,27.73123403039266,-96.17836110975918
270.2932502751869,-28.20220904537761,27.68878947142927,-92.73447288229522
281.7269113847843,-27.37173634251567,26.87322167185101,-91.65449161207883
293.6442272147124,-27.23026195342262,26.73043023383876,-94.85592671613894
306.0656568188346,-27.04580003128757,26.52048994146257,-96.21491628729439
319.0125246884172,-25.99755217928757,25.5147963949547,-96.91714381176814
332.5070573609534,-25.80614203064311,25.30852741614986,-96.2958572586987
346.5724215775736,-25.79144445033595,25.2919130819858,-96.81352083144452
361.2327640545542,-25.53735839615057,25.0466756008359,-91.56882503444102
376.5132529371953,-25.08887661911693,24.58904764805624,-97.01640560157959
392.4401210072382,-24.32654967208066,23.85487946932223,-95.01641551073766
409.0407107179982,-24.40691604082477,23.94681201661458,-99.26331886233089
426.3435211345256,-23.99799330127417,23.53411320509415,-100.3516697766633
444.3782568593789,-23.4463189589581,22.97708760658903,-100.8862453419035
463.1758790280082,-23.04614116186853,22.6075956163852,-98.08907258271782
482.7686584612883,-23.04893547097998,22.60467521000583,-99.27161120321651
503.1902310664553,-22.66246203259291,22.23309145547393,-98.77280948520107
524.4756555815562,-22.05451502019909,21.64618043137929,-100.201090490954
546.6614737625438,-21.41137466117069,21.00514376485279,-101.8184306701702
569.7857731163404,-21.39584822130544,20.98918526026427,-102.2166477414764
593.8882522875714,-20.61292990447868,20.23032590076408,-104.8799748918103
619.0102892112237,-20.45943691378029,20.09879991651423,-104.7039075892116
645.1950121482167,-19.91958886101395,19.54913622422669,-103.8906045301709
672.4873737258538,-19.70229129010581,19.36919160022475,-104.2109621026489
700.9342281102546,-19.38154353248979,19.08478744579238,-105.4120276503358
730.584411443248,-18.78504579574863,18.48138976430756,-105.3906284190754
761.4888256818282,-18.43027023406468,18.14949909574858,-105.8183831409493
793.7005259841002,-18.05387836171142,17.78698176005743,-107.335409767858
827.2748117917272,-17.43838106828999,17.19678344794832,-111.2508196903188
862.2693217652554,-17.30181960725082,17.07329428915641,-106.623127095109
898.7441327352996,-16.83173353297791,16.65085682914535,-109.6490720508241
936.7618628394459,-16.27973628352443,16.12726662926912,-109.4027586949504
976.3877790219507,-15.74855278525268,15.62191508604214,-110.3388954421205
