#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A189D7
#Date Time: 2024-04-26 12:21:54.069
#Start: 100 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 59.9292 V
#Offset: 0.000675089 V
#Relative: no
#Channel: Channel 2
#Range: 59.9881 V
#Offset: -0.00209507 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-33.95854334268738,31.99613636963651,-86.91432281873095
104.2300949424216,-33.01993259151293,31.0772394281034,-90.64245968448699
108.6391269170621,-32.34825058602095,30.40113594114059,-91.74573507796329
113.2346651302716,-32.28926005759804,30.36525809607685,-90.45554249447508
118.0245989730151,-32.04333991513216,30.12314463372849,-89.72592391339418
123.0171515649861,-32.39233571254472,30.47560282811158,-87.19695887393814
128.2208938716475,-31.79230682780344,29.90085137527308,-91.1216809563692
133.6447594184397,-30.75100077444113,28.87024221241646,-87.74021454936792
139.2980596274105,-30.56415860278967,28.69044255405365,-86.84338786325947
145.1904998026008,-30.58350990560866,28.70043608650401,-87.65981971561322
151.3321957916271,-29.68736647975977,27.82628457767452,-90.54313615182238
157.7336913520643,-29.41471872057532,27.55232243797303,-89.40651957277029
164.4059762524425,-29.1033944276656,27.23777753836725,-92.76494620768857
171.360505138936,-28.98766001008223,27.14605762390472,-92.11819187891994
178.609217200126,-28.01458349724037,26.19738929342812,-94.29538242549827
186.1645566636072,-28.52220159416263,26.69623996761089,-93.85864331870289
194.0394941596158,-27.61180880421136,25.80388660340513,-89.03855746277549
202.247548988362,-26.94011975101574,25.10824926058389,-94.01358900181617
210.8028123292901,-26.75440607847977,24.94947614062085,-93.92002740303138
219.7199714321139,-26.66315309783914,24.8744378815327,-91.65437587633039
229.0143348311534,-25.82096095108019,23.98864454012342,-94.63328768390136
238.7018586262665,-25.82356663255646,24.01575697836812,-91.74360359261499
248.7991738754823,-25.30320499592186,23.49474263386243,-92.91141300837188
259.3236151463755,-25.12867257035003,23.35719746736629,-91.94046021978517
270.2932502751869,-24.46214560889175,22.67233168099107,-92.68344861835243
281.7269113847843,-24.46747459619147,22.67897902081105,-89.82952870242639
293.6442272147124,-23.72605629683924,21.94576684479512,-90.77482912975455
306.0656568188346,-23.60217235305647,21.84430913070095,-93.31946902400568
319.0125246884172,-23.17553375600013,21.41636058903553,-93.13037223798841
332.5070573609534,-22.82579183868279,21.06434707654336,-92.28595943231188
346.5724215775736,-22.50649573243587,20.74205743407271,-93.10893563417554
361.2327640545542,-22.3083079493808,20.54489609625581,-93.17591382936418
376.5132529371953,-22.03780135297314,20.27103672118966,-92.87656632690928
392.4401210072382,-21.33853646774557,19.57450211507457,-94.10302249306058
409.0407107179982,-21.31445717327192,19.58114984570651,-93.95560592803102
426.3435211345256,-20.91737305929003,19.17488678630014,-93.90488854998495
444.3782568593789,-20.29077757961385,18.57029223223046,-93.13071880986844
463.1758790280082,-20.27026855088763,18.54974846328705,-94.27005821280784
482.7686584612883,-19.68765648687314,17.96976948930172,-94.65225641038541
503.1902310664553,-19.11018607613352,17.3730508516848,-95.08538587944109
524.4756555815562,-18.96567499384786,17.25572866952404,-94.63944187883862
546.6614737625438,-18.76564259470508,17.02831979456814,-95.92509186085265
569.7857731163404,-18.31194830171516,16.61408334346684,-94.57832031271926
593.8882522875714,-17.75810255850007,16.066163432051,-97.12383893612332
619.0102892112237,-17.31885073487659,15.60627743674459,-96.56994433443387
645.1950121482167,-16.95704270308616,15.24516011124037,-96.52993357524349
672.4873737258538,-16.62113062045103,14.91592751344795,-97.4225760787008
700.9342281102546,-16.43066954102643,14.72702100678367,-97.10570941659347
730.584411443248,-15.92320358484142,14.27684943444777,-97.98965774030435
761.4888256818282,-15.61615445711278,13.93436343913984,-98.43431389613448
793.7005259841002,-15.33405161041852,13.65431916549691,-97.64051306252281
827.2748117917272,-14.75133782218374,13.07746238330183,-97.29918688085149
862.2693217652554,-14.58020179609381,12.96780291382312,-98.93896931809049
898.7441327352996,-14.23883075071676,12.6124667440264,-98.88263172095685
936.7618628394459,-13.6868987208281,12.05253612267085,-100.4629709725067
976.3877790219507,-13.36935253667683,11.76835681445288,-100.1953154852222
1017.68990908078,-12.88818017488798,11.29299626397178,-100.785537526578
1060.73915845434,-12.68398749392168,11.07690743692286,-101.0409024526983
1105.609431948401,-12.08303123474807,10.47564583797931,-100.7626204926804
1152.377760612186,-11.87237451378765,10.31032108647076,-101.7431377654569
1201.124433981432,-11.28573005880412,9.691074744658543,-103.1319992261672
1251.93313791547,-10.92988476410754,9.358806731188462,-102.3167028438818
1304.891098264931,-10.61045023319015,9.053266052056665,-103.4029164755521
1360.089230616743,-10.15475510676665,8.617457773423009,-104.8084115984512
1417.622296373483,-9.774133092862114,8.273180418163678,-105.8650266101388
1477.589065435017,-9.349388433098357,7.871898380467476,-104.4497588555291
1540.092485761756,-9.046848410361973,7.586849478746991,-106.222822580793
1605.239860110578,-8.621456946281123,7.175765125354792,-106.3547936531126
1673.14303024685,-8.244540980999552,6.826029970643291,-106.8433086740395
1743.918568948799,-7.816333025040266,6.39559006299402,-107.0319635463247
1817.687980133853,-7.405109059548286,6.029157571674588,-107.8366945649718
1894.577907450499,-6.922428502633044,5.479241595981813,-108.9317993209293
1974.720351693797,-6.689448317446606,5.314584282073175,-109.4969998810044
2058.252897417765,-6.095855783111332,4.725846430327064,-110.4319544930929
2145.318949133678,-5.753126185209677,4.432567188507076,-111.6591223360274
2236.067977499791,-5.26744956409979,3.940557946983428,-112.2717308923043
2330.655775925117,-4.982787330113798,3.665134519382642,-113.4289045815394
2429.244728027779,-4.55548147727284,3.241985060031802,-114.1738808453678
2532.004086407124,-4.121816863409824,2.826559819792774,-114.6452098078183
2639.110263208136,-3.760397674332112,2.478479985270408,-114.9809752834317
2750.747132977031,-3.297352791616739,2.016810057339189,-116.263410909593
2867.106348327898,-2.966347376801625,1.730368706734214,-117.5474072446713
2988.38766896236,-2.596417521967369,1.261981470210069,-118.1780084322925
3114.799304607086,-2.084459136180455,0.7854707748560303,-119.8617616359329
3246.558272457852,-1.842076936383721,0.5115324577773193,-120.2659557500021
3383.890769743857,-1.36873804851838,0.005823886495312926,-121.5064364421751
3527.032562051862,-0.9713732584432935,-0.43854440582273,-123.0788927544565
3676.229388076776,-0.6686105782255897,-0.8473630224875282,-124.1010078775001
3831.737381493625,-0.3603362842432543,-1.225488944969237,-124.988702749759
3993.823510675062,-0.02460211213227498,-1.674584313379676,-126.8388401338127
4162.766037009368,0.2672514106158469,-2.122453837936189,-127.8232250723587
4338.854992605741,0.5702010769292745,-2.588078390744168,-129.2327274114325
4522.392678206958,0.7861173936939028,-2.964514571839123,-130.2850128375148
4713.694182164233,0.9654986011812684,-3.394841813301835,-131.8798122627597
4913.087921365179,1.242387009989143,-3.862873886766902,-133.6873869561607
5120.916205043567,1.334790400666783,-4.228648324921534,-134.9151858034672
5337.53582243876,1.492063293052992,-4.722105457199684,-136.5336183598992
5563.318655313676,1.57010475881136,-5.209572914504287,-138.0347849328612
5798.652316382892,1.671314980701405,-5.667807644151202,-139.997921909092
6043.940814746816,1.708990412124327,-6.145826309929184,-140.8112361468591
6299.605249474367,1.654152037884501,-6.632721722809499,-143.1680300173412
6566.084532524903,1.674517882584078,-7.129769297266442,-144.8126477094521
6843.836142250362,1.664800933811305,-7.477930168932929,-146.4520432229563
7133.336908771306,1.534115235878989,-8.004064518165659,-148.4549981667593
7435.083832575129,1.532191585766145,-8.519716535074553,-151.5127144433774
7749.594937741685,1.453611924867879,-9.079160539134032,-153.210447331531
8077.410161261253,1.374643072750342,-9.537608253486757,-154.8341959872327
8419.092279971408,1.287142087200922,-10.16148078754232,-158.1684256634836
8775.227876704274,1.104118875091224,-10.73879756058458,-159.4957331812448
9146.428347302706,0.9831076106887383,-11.03898146192868,-161.3074668497365
9533.33095023416,0.8818758291761521,-11.56061235261677,-164.392942213853
9936.599900604322,0.7615011357666848,-12.03489555518857,-165.297833079725
10356.92751044845,0.63086981667657,-12.76382157673111,-168.7553835002333
10795.03537725818,0.4745406076835871,-13.5292974458726,-170.9094788342687
11251.6756227842,0.3544613074519373,-13.77569942153459,-173.933585691472
11727.63218424127,0.2028167886959716,-14.37349754262387,-175.2764216435154
12223.72216013265,0.1061675192399715,-15.20998948063152,-179.7001082752465
12740.79721300408,-0.05605504779051948,-15.48847817222429,-180.6293254893883
13279.74503153555,-0.1515706772956386,-16.43389623149223,-183.0366426714868
13841.490854481,-0.3026703744968156,-16.64621615104578,-187.3515873486988
14426.99905907214,-0.4491760795352524,-17.35610992809747,-190.3983563341902
15037.27481661315,-0.5217543650289878,-18.07067046998117,-192.5420786515456
15673.36581810872,-0.5577636017166835,-18.66071036984905,-196.1616505790186
16336.36407288775,-0.6555252317601534,-18.7911723530658,-196.7651307631919
17027.40778331055,-0.8115881580376237,-20.35491251346583,-200.5332424463392
17747.68329877786,-0.8906031228841339,-20.07382058525782,-202.9479524704878
18498.42715239644,-0.9579856847863512,-21.46692128653159,-206.897717103169
19280.92818379749,-0.9993528181787203,-21.6342219178312,-206.6076763872701
20096.52975175224,-1.115821499212937,-21.87104453579915,-209.9802996386313
20946.63204038333,-1.050437127112018,-23.10399832087274,-214.2461168332449
21832.69446293124,-1.175637909268751,-23.42289307548823,-222.8055055754563
22756.23816720202,-1.185619648537823,-23.67207275197139,-218.1789562872326
23718.84864699823,-1.17025352455333,-23.43430082067708,-206.4067938280941
24722.17846401552,-1.799021456795404,-23.48516089323863,-286.8621648097312
25767.95008487826,-1.559865914313924,-18.91757887505486,-255.1476504993165
26857.95883818439,-1.278858758052626,-26.89647582209829,-215.7066328467768
27994.07599663607,-1.429141765380177,-25.52295417200528,-242.5851930827681
29178.25198954741,-1.500595972825296,-25.7753359388874,-246.0158644595055
30412.51975124426,-1.564201501219858,-25.79172201680683,-252.6632028179546
31698.99821110458,-1.573455008946998,-27.99697745114473,-250.2848447802716
33039.89593123081,-1.675494427068787,-25.67830220210754,-258.1816378774494
34437.51489799911,-1.606779300175037,-28.64339765474963,-262.0420756732746
35894.25447399503,-1.801141996097272,-27.82367959157793,-263.5309572901861
37412.61551711941,-1.835206961999078,-26.73646721467842,-257.765142373623
38995.20467393667,-1.811190767158269,-28.99710110216365,-288.2631123930533
40644.73885463578,0.105271424870293,-14.10633292879399,-161.9759496245543
42364.04989728618,-1.384782434668846,-13.1523938907391,-104.8021751070036
44156.08942939618,-3.48619113201711,7.036971338777819,-173.3442932150555
46023.93393512021,12.21661249801963,-1.821921383561734,-181.6201954127339
47970.79003681312,13.31343688429518,-1.23018039236798,-173.0468685566529
50000,11.68626618731014,0.4737483323604247,-191.305492098942
